MES_ANO	CAMPANHA (Big Idea | Big Promise)
11/2022	Imersão PF e PRF | O treinamento especial com quem aprovou 977 na Polícia Federal e 952 a Polícia Rodoviária Federal
01/2023	2023: O ano da sua aprovação |  Mais de 55 mil vagas em concursos para ter estabilidade e salário de até R$ 28 mil
01/2023	Auditor Fiscal em 2023 | 12 concursos e mais de 1.100 vagas com salários de até 35 mil
01/2023	Projeto Banco do Brasil | Saia do zero e conquiste  uma das 6.000 vagas tendo apenas nível médio
02/2023	FUNIL BANCO DO BRASIL
02/2023	Projeto 39K Sefaz MT |  Como conquistar a sua vaga no concurso que paga meio milhão por ano
02/2023	FUNIL PACOTEIROS
02/2023	Mapa da Aprovação PETROBRAS | O plano imbatível para ganhar R$ 5 mil + dezenas de benefícios ainda em 2023
03/2023	Assinatura vitalícia | Nunca mais gaste um centavo sequer para ser aprovado em concursos
05/2023	Código da Aprovação SERPRO |  Como garantir uma das 602 vagas com remunerações acima de R$ 10 mil em 75 dias
05/2023	Mapa da Aprovação AFT 2023 | O que fazer para se tornar Auditor Fiscal do Trabalho e ganhar R$ 23,5 mil por mês
05/2023	Conexão ISS RJ - ISS SP | O plano para dobrar suas chances de se tornar Auditor e ganhar mais de R$ 20 mil/mês em 2023
05/2023	Mapa da Aprovação TSE | As melhores estratégias para sair do zero e conquistar até R$ 14,4 mil/mês
06/2023	Enfermagem do Zero para Concursos com Ligia Carvalheiro
06/2023	FUNIL ISS RJ
06/2023	FUNIL PMERJ
06/2023	Turma de Elite PF e PRF | Aproveite o novo pedido de 5.855 mil vagas e comece agora a sua preparação com o curso dos 1ºs colocados
06/2023	ISS SP em 90 dias | O guia de reta final para conquistar uma das 60 vagas e ganhar R$ 26 mil/mês
06/2023	Projeto TSE Unificado | O guia definitivo para você conquistar até R$ 14,4 mil/mês ainda em 2023
06/2023	AFT 2023: o Gigante Fiscal | Preprare-se para o maior concurso da história do órgão com 900 vagas e salários de R$ 23,5 mil
07/2023	FUNIL TJ SP OFICIAL DE JUSTIÇA
07/2023	AFT Preparação Acelerada | Largue na frente para conquistar uma das 900 vagas e ganhar R$ 23,5 mil/mês
08/2023	Mentoria Estratégica TSE | O acompanhamento completo até a data da prova para furar a fila da aprovação
08/2023	Mapa da Aprovação Câmara dos Deputados | Domine o método usado por 70% dos aprovados no Senado e conquiste R$ 26mil/mês
08/2023	Marco Zero BACEN + CVM | Descubra como conquistar uma das 160 vagas com salários de até R$ 23 mil/mês
08/2023	Jornada do AFT | Prepare-se em alto nível para o maior concurso fiscal dos últimos 10 anos e conquiste R$ 23,5 mil/mês
08/2023	Turma Estratégica TSE | Aprenda o método usado por até 85% dos aprovados em TREs e conquiste R$ 14,4 mil/mês
09/2023	Semana da sua Independência Financeira | Conquiste uma das 85 mil vagas em concursos para ganhar até 26 mil por mês
09/2023	Concurso PC SP - Escrivão e Investigador | Preparação turbo para provas objetiva, discursiva e oral em único lugar!
09/2023	Mapa da Aprovação PRF | Aprenda a estratégia usada por 952 aprovados no último concurso e conquiste sua vaga estudando só 3h/dia
09/2023	Guia da Aprovação no INSS | Descubra a estratégia usada por 2 em cada 3 aprovados e conquiste uma das 7.655 vagas solicitadas.
11/2023	Melhor que Black Friday | O nº 1 em aprovações pelo menor preço do ano
11/2023	Esquenta Black Friday | Uma série de aulas com o nº 1 em aprovações
11/2023	Black Friday Estratégia Educação 2023 | O nº 1 em aprovações pelo menor preço do ano
12/2023	Preparação Turbo TSE | A estratégia de reta final para você conquistar um salário de até R$ 15 mil/mês
12/2023	Funil de e-mails CNU
01/2024	Nunca mais seja demitido | Mais de 64 mil vagas, salários de até 27k e estabilidade para sempre
01/2024	Seja um professor concursado em 2024 com o Estratégia Educação
01/2024	Você aprovado em 2024 - Estratégia Saúde
01/2024	Operação Polícia Federal 2024 | Conquiste uma das 2.000 vagas anunciadas com quem aprovou 977 PFs no último concurso
01/2024	Reta Final Polícia Penal GO | Conquiste uma das 400 vagas e salários de R$ 6 mil com o método dos #1s colocados do DEPEN
01/2024	Preparação Total BACEN, CVM e STN | Multiplique suas chances de aprovação disputando as 200 vagas com salários de R$ 20,9 mil/mês
02/2024	Guia da aprovação CAIXA | O plano imbatível para você conquistar uma das 4.000 vagas com remunerações de R$ 5.2 mil.
02/2024	Preparação Descomplicada Concurso Unificado | O caminho mais curto para você conquistar uma das 6.640 vagas e salários de até R$ 22 mil
02/2024	Concurso CAIXA - Edital publicado
03/2024	Jornada da aprovação Receita Federal | Os 10 melhores concursos para ganhar até R$ 30 mil por mês
03/2024	Funil de e-mails CNU
03/2024	Funil de e-mails MPU
03/2024	Funil de e-mails BACEN
03/2024	Funil de e-mails PRF
03/2024	Funil de e-mails BNB
04/2024	Reta Final TJ SC | O caminho mais rápido para conquistar até R$ 9,4 mil/mês com estabilidade
04/2024	Semana Especial dos Concursos Fiscais | Os 10 melhores concursos para ganhar até R$ 30 mil por mês
04/2024	Trilha da Aprovação TSE Unificado | O passo a passo para conquistar uma das 520 vagas e até R$ 15,4 mil/mês com estabilidade
04/2024	TJ AL em 80 dias | Como conquistar R$ 4 mil/mês mesmo sem ter feito faculdade
04/2024	Código da Aprovação BRB | Como conquistar uma das 100 vagas de TI e até R$ 10,2 mil/mês em 80 dias
04/2024	Reta Final TJ MA | 80 dias para conquistar R$ 6,7 mil/mês mesmo sem ter feito faculdade
04/2024	Semana Especial dos Institutos Federais
04/2024	Funil de pacoteiros
05/2024	Funil CNU | O que fazer após o Concurso Unificado?
05/2024	Sprint Final CNU - Como aproveitar o tempo para aumentar suas chances de aprovação
05/2024	Semana dos Concursos de Nível Médio | Mais de 18 mil vagas com estabilidade e salários de até R$ 7 mil sem faculdade
05/2024	Mapa da aprovação BNDES | TUDO que você precisa fazer para conquistar mais de R$23 mil por mês ainda em 2024
05/2024	TJ SP em 100 dias | 572 vagas para ganhar R$ 6 mil/mês mesmo sem faculdade
06/2024	Funil de e-mails TJ SP
06/2024	Concurso TRF 1 - Edital publicado
06/2024	Concurso TRT CE - Edital publicado
07/2024	Polícia Penal GO em 70 dias | Como conquistar uma das 1.600 vagas e salários de R$ 6 mil
PERPÉTUO	Guia da Aprovação Receita Federal | Conquiste R$ 23 mil por mês com o método exclusivo usado por 83% dos aprovados em 2023
PERPÉTUO	Operação Federal | O método de elite usado por 977 aprovados para você ingressar na Polícia Federal
08/2024	Plano de Aprovação MP PR | O guia de reta final para conquistar uma das 86 vagas com salários de até R$ 16 mil
08/2024	Funil de e-mails TSE
08/2024	Jornada do Auditor Fiscal | O passo a passo para conquistar uma das mais de 500 vagas previstas e ganhar até meio milhão de reais todo ano.
08/2024	Funil - Agosto/24
08/2024	O que fazer após o Concurso Unificado?
09/2024	Jornada da Independência Financeira - Descubra como ser aprovado em menos de 1 ano e ganhar até R$ 30.000,00 por mês
09/2024	DO ZERO À PCDF ADMINISTRATIVO | Como garantir uma das 200 vagas de nível médio e R$ 5,5 mil em 4 meses
09/2024	PROJETO 7K SEM FACULDADE | O método comprovado para conquistar uma das 43 mil vagas de nível médio e ganhar até R$ 7 mil/mês
09/2024	Fábrica de Auditores SEFAZ RJ | Conquiste salários de pelo menos R$ 30.000,00/mês com o melhor time de especialistas da SEFAZ RJ
10/2024	Bússola da Aprovação PRF | A metodologia Imbatível que garantiu a aprovação de 952 Policiais Rodoviários Federais
10/2024	Guia da aprovação INSS I Conquiste uma das 7.655 vagas e salários de até R$ 9.7 mil com o método usado por 62% dos aprovados
10/2024	Melhor que Black Friday | O material usado por 70% dos aprovados pelo menor preço do ano
12/2024	O que fazer após o Concurso TJ SP?
12/2024	O que fazer após o Concurso TSE?
01/2025	Nunca mais seja demitido | 68 mil vagas em concursos, salários de até R$ 30 mil e estabilidade para sempre
01/2025	Missão PF & PRF 2025 | Realize seu sonho de ser policial com o método que é líder em aprovações no Brasil.
01/2025	Top 3 concursos de nível médio | As melhores oportunidades para ganhar até R$ 7 mil por mês sem ter faculdade
01/2025	Operação Receita Federal 2025 | O guia definitivo escolhido por 83% dos aprovados para garantir R$ 23 mil mensais
01/2025	Concurso IBAMA - Edital publicado
02/2025	Mentoria MPU em 80 dias | O plano acelerado para você conquistar até R$ 9 mil por mês
02/2025	MP RJ em 90 dias | O guia completo para conquistar R$ 6 mil por mês mesmo sem ter faculdade
02/2025	Reta Final SEFAZ PR | O passo a passo para conquistar uma das 50 vagas e R$ 17 mil mensais
02/2025	O Ano de Ouro dos Concursos Fiscais | O passo a passo para se tornar Auditor Fiscal e ganhar até R$ 36 mil + SELO "MAIS DE 1500 VAGAS
02/2025	Bloco do Banco do Brasil | Descubra a estratégia que aprovou 490 candidatos e pode te levar a R$ 8,7 mil/mês sem faculdade
03/2025	Semana Nacional da Polícia Federal | 20 horas de aulas gratuitas para você sair do zero e garantir uma das 2.000 vagas com salários de até R$ 15 mil
04/2025	Assinatura Vitalícia do Estratégia Concursos | Nunca mais gaste um centavo sequer para ser aprovado
04/2025	Concurso TRT SP - Edital publicado
04/2025	Concurso Polícia Federal Administrativo - Edital publicado
04/2025	Funil por concurso (TRF4, SEFAZ PI, PRF, BB, Petrobras, INSS, TJ SP)
05/2025	O que fazer após o Concurso do MPU?
04/2025	Operação PC CE | O guia completo de reta final para garantir uma das 425 vagas e mais de R$ 7 mil mensais
04/2025	Polícia Federal: 90 em 5 | O plano para focar em 5 matérias, cobrir 90% do conteúdo e conquistar uma das 1.000 vagas
05/2025	Funil de e-mails TRF 4 - Pós-edital
05/2025	Mapa da Aprovação PETROBRAS | O plano imbatível para ganhar R$ 5 mil + dezenas de benefícios ainda em 2023
05/2025	Projeto Auditor Fiscal 2025 | O Guia Completo com os Top  8 concursos para ganhar mais de R$ 30 mi/mês + SELO "MAIS DE 1100 VAGAS"
05/2025	Fórmula da Aprovação TCU | Aprenda a estratégia de 85% dos aprovados e conquiste até R$ 31 mil mensais
06/2025	Acelerador PRF | Turbine sua aprovação com o método usado por 952 aprovados e ingresse na PRF em 2025
06/2025	Do zero ao TJ PR | O guia de estudos pós-edital para ganhar mais de R$ 9 mil iniciais mesmo sem faculdade
06/2025	Controle Absoluto CGE SP | Como conquistar uma das 200 vagas e mais de R$ 18 mil/mês nesta oportunidade escondida
06/2025	Semana Nacional dos Concursos Públicos | 89 mil vagas, estabilidade e salários de até 35 mil - Seja aprovado ainda em 2025
07/2025	CNU 2025: O Maior Concurso do Ano| Conquiste uma das 3.652 vagas com o curso que aprovou 2.990 no último CNU e tenha estabilidade para sempre
06/2025	Funis de e-mail - Junho/25
07/2025	CNU 2025: do zero à aprovação | O passo a passo para estudar com a estratégia escolhida por 2.990 aprovados no último CNU
07/2025	Meu primeiro concurso   |  34 mil vagas de nível médio para ganhar ate R$ 9,8 mil por mês com estabilidade
07/2025	Plataforma da Aprovação Petrobras |  O guia completo para ser aprovado e ganhar mais de R$ 23 mil mensais
07/2025	Marco Zero Receita Federal | O passo a passo para conquistar R$ 24 mil/mês com o segredo de 83% dos aprovados
07/2025	O que fazer após o Concurso da Polícia Federal?
07/2025	Contagem Regressiva TJ RJ | Domine a estratégia de 90% aprovados antes que seja tarde demais para conquistar até R$ 12 mil/mês
08/2025	Tropa de Elite PRF | Comece na frente com o método que já aprovou 952 candidatos e conquiste um salário de R$ 12 mil por mês.
08/2025	Contagem Regressiva SEFAZ RN | Domine a estratégia de 93% aprovados antes que seja tarde demais para conquistar até R$ 32 mil/mês
08/2025	Contagem Regressiva CGE SP | Domine a estratégia de 85% aprovados antes que seja tarde demais para conquistar até R$ 20 mil/mês
08/2025	Banco do Brasil em 180 dias | Descubra como conquistar até R$ 8,7 mil/mês estudando apenas 3 horas/dia por 6 meses
09/2025	Mapa da Independência Financeira | Ganhe até R$ 35 mil/mês e desfrute de uma carreira segura e estável no serviço público
09/2025	Concurso TJ RS Express | O guia de 81 dias para quem tem nível médio conquistar R$ 5 mil por mês com estabilidade
09/2025	INSS do zero à aprovação | Conheça a estratégia usada por 627 aprovados para garantir uma das 8,5 mil vagas solicitadas
10/2025	O que fazer após o Concurso Nacional Unificado?
10/2025	TJ SP Descomplicado | O segredo utilizado por até 90% dos aprovados para conquistar R$ 6 mil/mês
10/2025	Funil pós-edital IGP RS
10/2025	Lucrando Alto Banco do Brasil | Como transformar 3h por dia de estudo em R$ 113 mil por ano
10/2025	Melhor que Black Friday | O material utilizado por 70% dos aprovados pelo menor preço do ano
11/2025	Funil pós-edital TJ MS
11/2025	Plano de Reta Final TJ RJ | O guia completo para conquistar até R$ 13 mil mensais
11/2025	Guia do Auditor Fiscal 2026 | Como conquistar até R$ 39 mil/mês tendo qualquer formação de nível superior
11/2025	Concurso SEFAZ SP - Edital publicado
12/2025	Caixa para Engenheiros e Arquitetos | O plano de reta final para conquistar 16k por mês em 60 dias
12/2025	Operação Pré-edital Petrobras | O passo a passo para ser aprovado e ganhar até R$ 23 mil/mês
12/2025	O que fazer após o Concurso TJ SP?
12/2025	O que fazer após o Concurso CGE SP?
01/2026	Nunca mais seja demitido 2026 | Garanta sua estabilidade para sempre com salário de até 39 mil todos os meses!
12/2025	Projeto 32k Câmara dos Deputados | Seja um dos servidores mais bem pagos do país com a estratégia de 7 a cada 10 aprovados no Senado
12/2025	Operação Pós-edital PC SC | Descubra o passo a passo para conquistar uma das 300 vagas
01/2026	Sprint Final Câmara dos Deputados | Descubra a combinação de ferramentas que vai acelerar sua aprovação rumo aos 32k
01/2026	O ano de ouro dos concursos fiscais | Aproveite o melhor momento em 20 anos para se tornar Auditor Fiscal, com salários de até R$ 39 mil e estabilidade
01/2026	Invasão PRF 2026 | Descubra o método que transformou 952 concurseiros em policiais e conquiste R$ 12 mil mensais
01/2026	INSS do zero à aprovação | Conquiste R$ 6 mil mensais com 3h de estudo por dia (SELO: 8.500 vagas solicitadas)
01/2026	Funis de Pacotes - Nunca mais seja demitido/26
02/2026	Banco do Brasil em alerta | Como sair do zero e conquistar R$ 8,7 mil/mês em 2026
02/2026	O que fazer após o Concurso TJ RJ?
02/2026	Operação Polícia Legislativa Federal
02/2026	Salário para Sempre | O caminho para conquistar estabilidade para sempre em umas das x mil vagas em concursos públicos
02/2026	Mapa da aprovação Petrobras  | O guia personalizado para ser aprovado e ganhar até 23k por mês
03/2026	Semana do Consumidor Concurseiro | Descontos imperdíveis e bônus exclusivos para você virar servidor público em 2026!
03/2026	O que fazer após o Concurso Câmara dos Deputados
04/2026	Projeto Auditor Fiscal 2026 | O Guia Completo com os Top 11 concursos para ganhar mais de R$ 37 mil/mês
04/2026	TJ SC em 75 dias | O plano de reta final para conquistar sua vaga e ganhar até R$ 10,3 mil/mês
05/2026	Semana da SuperMãe Concursada | Como ser aprovada em 2026, mesmo que você tenha uma família inteira para cuidar
04/2026	Detonando Questões | Treine em alto nível com o método utilizado por 70% dos aprovados
05/2026	Alerta INSS | Transforme 3 horas diárias em R$ 7 mil/mês com o plano de estudos 100% personalizado
05/2026	Masterclass Auditor Fiscal | O guia definitivo dos 12 concursos fiscais com mais de 1.100 vagas e salários de até R$ 38 mil
05/2026	Salário para Sempre | Conquiste o trabalho dos seus sonhos
02/2026	Campanha TJ CE | Antecipação Edital publicado
05/2026	Dia dos Namorados Concurseiros | Garanta um futuro estável a dois com mais de 163 mil vagas e até R$ 38 mil nos concursos públicos
06/2026	Semana Nacional dos Concursos Públicos 2026
06/2026	Copa das Questões: Rumo à Aprovação nos Concursos
07/2026	Operação Policial Civil 2026 | O guia completo para conquistar uma das 3.182 vagas e ganhar até R$ 9 mil
07/2026	Concurso Receita Federal 2026 | O Plano de estudos 100% personalizado para ser aprovado e ganhar R$ 36 mil/mês
07/2026	Projeto Auditor de Controle | O Plano de estudos 100% personalizado para ser aprovado e ganhar até R$ 20 mil/mês
07/2026	Aquecimento Banco Central | O Plano de estudos 100% personalizado para ser aprovado e ganhar R$ 36 mil/mês
	27
	11
	10
	9
	11
	32
